race_index,true_order,perm_probs,match_index,_tuple0,key0,key1,race_key,odds
21600,"[0, 1, 2]","[((0, 2, 1), 0.11067639291286469), ((2, 0, 1), 0.10202374309301376), ((0, 2, 4), 0.06081455945968628), ((2, 0, 4), 0.05606009438633919), ((0, 1, 2), 0.0504741370677948)]",5,"(0, 1, 2)",0-1-2,1-2-3,若松_20250421_11,5.9
21720,"[0, 1, 5]","[((1, 2, 5), 0.19650067389011383), ((1, 5, 2), 0.16934268176555634), ((2, 1, 5), 0.0854993462562561), ((5, 1, 2), 0.07098667323589325), ((1, 2, 0), 0.04836172237992287)]",20,"(0, 1, 5)",0-1-5,1-2-6,若松_20250515_3,78.9
21840,"[1, 0, 5]","[((0, 5, 2), 0.051184311509132385), ((0, 2, 5), 0.04630132019519806), ((5, 0, 2), 0.03870148956775665), ((0, 5, 1), 0.03626216575503349), ((2, 0, 5), 0.03323759883642197)]",13,"(1, 0, 5)",1-0-5,2-1-6,若松_20250429_8,137.1
21960,"[0, 2, 1]","[((5, 2, 0), 0.04510486125946045), ((5, 0, 2), 0.04408334568142891), ((2, 5, 0), 0.04253609478473663), ((0, 5, 2), 0.04097621515393257), ((5, 2, 1), 0.038700468838214874)]",20,"(0, 2, 1)",0-2-1,1-3-2,若松_20250424_1,8.5
22080,"[0, 3, 5]","[((5, 1, 0), 0.09538943320512772), ((5, 0, 1), 0.07591154426336288), ((5, 1, 3), 0.07281371206045151), ((1, 5, 0), 0.06577393412590027), ((5, 3, 1), 0.053128451108932495)]",20,"(0, 3, 5)",0-3-5,1-4-6,若松_20250424_7,49.6
22200,"[5, 2, 4]","[((5, 3, 2), 0.17371007800102234), ((5, 2, 3), 0.16434498131275177), ((3, 5, 2), 0.1381920874118805), ((2, 5, 3), 0.12771868705749512), ((3, 2, 5), 0.08920101076364517)]",15,"(5, 2, 4)",5-2-4,6-3-5,若松_20250608_3,37.7
22320,"[0, 4, 1]","[((4, 0, 2), 0.10292788594961166), ((0, 4, 2), 0.10032203793525696), ((4, 0, 3), 0.07197302579879761), ((0, 4, 3), 0.07015086710453033), ((4, 0, 1), 0.06297501176595688)]",7,"(0, 4, 1)",0-4-1,1-5-2,若松_20250429_4,15.2
22440,"[0, 3, 5]","[((5, 1, 0), 0.043980084359645844), ((1, 5, 0), 0.042862311005592346), ((5, 1, 3), 0.04131023958325386), ((1, 5, 3), 0.04026031866669655), ((5, 0, 1), 0.038909029215574265)]",21,"(0, 3, 5)",0-3-5,1-4-6,若松_20250424_7,49.6
22560,"[3, 1, 4]","[((1, 0, 4), 0.1587723344564438), ((1, 4, 0), 0.1326727718114853), ((0, 1, 4), 0.07136724889278412), ((1, 0, 2), 0.06111450493335724), ((4, 1, 0), 0.0568101666867733)]",24,"(3, 1, 4)",3-1-4,4-2-5,若松_20250525_2,157.4
22680,"[0, 4, 2]","[((0, 2, 4), 0.2401982843875885), ((0, 4, 2), 0.2262013703584671), ((2, 0, 4), 0.07523790001869202), ((4, 0, 2), 0.07010075449943542), ((0, 2, 5), 0.040707964450120926)]",2,"(0, 4, 2)",0-4-2,1-5-3,若松_20250515_11,29.2
22800,"[0, 2, 3]","[((0, 1, 3), 0.08096887916326523), ((0, 1, 2), 0.07493510842323303), ((1, 0, 3), 0.0667223110795021), ((1, 0, 2), 0.06175019219517708), ((0, 3, 1), 0.05578852444887161)]",15,"(0, 2, 3)",0-2-3,1-3-4,若松_20250424_10,5.8
22920,"[0, 5, 1]","[((0, 1, 2), 0.1700132191181183), ((0, 2, 1), 0.1368759125471115), ((0, 1, 5), 0.07755963504314423), ((1, 0, 2), 0.058491308242082596), ((0, 5, 1), 0.050344403833150864)]",5,"(0, 5, 1)",0-5-1,1-6-2,若松_20250526_2,13.8
23040,"[0, 1, 4]","[((0, 1, 4), 0.04804309830069542), ((0, 1, 5), 0.03788266330957413), ((0, 1, 2), 0.037753332406282425), ((0, 4, 1), 0.03714831918478012), ((1, 0, 4), 0.036256879568099976)]",1,"(0, 1, 4)",0-1-4,1-2-5,若松_20250424_11,8.3
23160,"[0, 1, 5]","[((1, 0, 2), 0.0435003824532032), ((1, 2, 0), 0.039002858102321625), ((0, 1, 2), 0.03884386271238327), ((1, 0, 3), 0.0349096916615963), ((2, 1, 0), 0.03261636197566986)]",15,"(0, 1, 5)",0-1-5,1-2-6,若松_20250515_3,78.9
23280,"[0, 2, 3]","[((0, 2, 1), 0.10046873986721039), ((0, 2, 3), 0.08822474628686905), ((0, 1, 2), 0.08302484452724457), ((0, 3, 2), 0.06993650645017624), ((0, 1, 3), 0.048662152141332626)]",2,"(0, 2, 3)",0-2-3,1-3-4,若松_20250424_10,5.8
23400,"[0, 2, 4]","[((0, 5, 4), 0.044861357659101486), ((0, 5, 1), 0.04174650460481644), ((0, 5, 2), 0.04011908173561096), ((0, 4, 5), 0.03934362903237343), ((0, 1, 5), 0.035980451852083206)]",14,"(0, 2, 4)",0-2-4,1-3-5,若松_20250421_2,38.6
23520,"[5, 1, 3]","[((5, 1, 3), 0.15291711688041687), ((5, 3, 1), 0.1431492269039154), ((5, 1, 0), 0.0680471807718277), ((5, 3, 0), 0.05668745934963226), ((5, 0, 1), 0.04951208457350731)]",1,"(5, 1, 3)",5-1-3,6-2-4,若松_20250613_2,141.8
23640,"[4, 1, 0]","[((1, 2, 0), 0.16939260065555573), ((1, 0, 2), 0.16391761600971222), ((2, 1, 0), 0.06804785132408142), ((0, 1, 2), 0.06532534211874008), ((1, 2, 3), 0.040315788239240646)]",26,"(4, 1, 0)",4-1-0,5-2-1,若松_20250613_3,277.7
23760,"[1, 0, 2]","[((0, 2, 1), 0.23302142322063446), ((0, 1, 2), 0.2046174257993698), ((2, 0, 1), 0.08780832588672638), ((1, 0, 2), 0.07501127570867538), ((0, 2, 5), 0.03321347013115883)]",4,"(1, 0, 2)",1-0-2,2-1-3,若松_20250424_6,18.5
23880,"[0, 1, 5]","[((0, 5, 1), 0.20610710978507996), ((5, 0, 1), 0.12975704669952393), ((0, 1, 5), 0.10670927911996841), ((0, 5, 3), 0.0757739245891571), ((1, 0, 5), 0.05463266372680664)]",3,"(0, 1, 5)",0-1-5,1-2-6,若松_20250515_3,78.9
24000,"[0, 2, 5]","[((2, 1, 0), 0.0463070385158062), ((2, 0, 1), 0.04503583908081055), ((2, 1, 4), 0.036298125982284546), ((2, 0, 4), 0.03286529332399368), ((2, 4, 1), 0.03268557786941528)]",21,"(0, 2, 5)",0-2-5,1-3-6,若松_20250425_4,74.7
24120,"[1, 5, 3]","[((1, 3, 5), 0.24930204451084137), ((1, 5, 3), 0.17494317889213562), ((1, 3, 2), 0.08613631129264832), ((1, 3, 4), 0.08153130859136581), ((1, 2, 3), 0.04790698364377022)]",2,"(1, 5, 3)",1-5-3,2-6-4,若松_20250425_3,27.1
24240,"[0, 1, 5]","[((0, 5, 2), 0.10151030868291855), ((0, 2, 5), 0.0785272866487503), ((0, 5, 1), 0.071101613342762), ((5, 0, 2), 0.0633440911769867), ((0, 1, 5), 0.04966522380709648)]",5,"(0, 1, 5)",0-1-5,1-2-6,若松_20250515_3,78.9
24360,"[0, 2, 3]","[((3, 0, 2), 0.11967465281486511), ((0, 3, 2), 0.09357839077711105), ((3, 2, 0), 0.0834675133228302), ((2, 3, 0), 0.05574479699134827), ((3, 0, 1), 0.0499926321208477)]",6,"(0, 2, 3)",0-2-3,1-3-4,若松_20250424_10,5.8
24480,"[0, 5, 2]","[((0, 3, 5), 0.13156342506408691), ((0, 5, 3), 0.10830658674240112), ((0, 3, 2), 0.08298484981060028), ((0, 2, 3), 0.06001196801662445), ((0, 5, 2), 0.0464179702103138)]",5,"(0, 5, 2)",0-5-2,1-6-3,若松_20250526_12,27.6
24600,"[0, 2, 1]","[((0, 2, 3), 0.11737378686666489), ((0, 2, 1), 0.09232262521982193), ((0, 3, 2), 0.08560655266046524), ((2, 0, 3), 0.07266799360513687), ((0, 1, 2), 0.06256977468729019)]",2,"(0, 2, 1)",0-2-1,1-3-2,若松_20250424_1,8.5
24720,"[1, 0, 2]","[((3, 0, 1), 0.03746279329061508), ((3, 0, 2), 0.03741148114204407), ((0, 3, 1), 0.03679747134447098), ((0, 3, 2), 0.03674707189202309), ((3, 1, 0), 0.03511343523859978)]",19,"(1, 0, 2)",1-0-2,2-1-3,若松_20250424_6,18.5
24840,"[0, 1, 4]","[((4, 1, 0), 0.04140462353825569), ((1, 4, 0), 0.039895810186862946), ((4, 0, 1), 0.036914657801389694), ((1, 0, 4), 0.033811502158641815), ((0, 4, 1), 0.033056993037462234)]",6,"(0, 1, 4)",0-1-4,1-2-5,若松_20250424_11,8.3
24960,"[0, 5, 1]","[((5, 0, 2), 0.21799272298812866), ((5, 2, 0), 0.18900339305400848), ((5, 0, 1), 0.06774937361478806), ((0, 5, 2), 0.056109730154275894), ((2, 5, 0), 0.047600552439689636)]",13,"(0, 5, 1)",0-5-1,1-6-2,若松_20250526_2,13.8
25080,"[0, 2, 3]","[((2, 3, 1), 0.11309026926755905), ((2, 3, 0), 0.08571208268404007), ((2, 1, 3), 0.08223924785852432), ((3, 2, 1), 0.06618661433458328), ((2, 0, 3), 0.05764618143439293)]",11,"(0, 2, 3)",0-2-3,1-3-4,若松_20250424_10,5.8
25200,"[0, 1, 5]","[((0, 1, 2), 0.11173504590988159), ((0, 2, 1), 0.08943289518356323), ((0, 1, 5), 0.07909277826547623), ((1, 0, 2), 0.06934484094381332), ((0, 5, 1), 0.056584432721138)]",3,"(0, 1, 5)",0-1-5,1-2-6,若松_20250515_3,78.9
25320,"[1, 0, 3]","[((1, 0, 3), 0.17348526418209076), ((0, 1, 3), 0.1610221117734909), ((1, 0, 2), 0.11426310986280441), ((0, 1, 2), 0.10605446249246597), ((1, 0, 5), 0.05733618885278702)]",1,"(1, 0, 3)",1-0-3,2-1-4,若松_20250421_10,86.2
25440,"[0, 1, 3]","[((0, 1, 3), 0.04956919327378273), ((0, 1, 5), 0.04672311991453171), ((1, 0, 3), 0.041531991213560104), ((0, 1, 2), 0.040486689656972885), ((1, 0, 5), 0.039147380739450455)]",1,"(0, 1, 3)",0-1-3,1-2-4,若松_20250424_5,3.9
25560,"[0, 1, 4]","[((1, 5, 0), 0.19279558956623077), ((1, 0, 5), 0.15681050717830658), ((5, 1, 0), 0.11008774489164352), ((0, 1, 5), 0.08389219641685486), ((5, 0, 1), 0.040897566825151443)]",26,"(0, 1, 4)",0-1-4,1-2-5,若松_20250424_11,8.3
25680,"[3, 0, 1]","[((0, 1, 3), 0.18628817796707153), ((0, 3, 1), 0.16592171788215637), ((1, 0, 3), 0.08901819586753845), ((3, 0, 1), 0.07679672539234161), ((0, 1, 2), 0.03784012049436569)]",4,"(3, 0, 1)",3-0-1,4-1-2,若松_20250526_6,127.8
25800,"[4, 0, 3]","[((4, 0, 3), 0.31947433948516846), ((4, 3, 0), 0.10336814820766449), ((4, 0, 2), 0.09077614545822144), ((4, 0, 5), 0.084782674908638), ((0, 4, 3), 0.08042170107364655)]",1,"(4, 0, 3)",4-0-3,5-1-4,若松_20250519_1,51.9
25920,"[4, 0, 1]","[((0, 1, 5), 0.095680370926857), ((0, 5, 1), 0.08558870106935501), ((1, 0, 5), 0.06524278223514557), ((0, 1, 4), 0.059872645884752274), ((5, 0, 1), 0.055643029510974884)]",13,"(4, 0, 1)",4-0-1,5-1-2,若松_20250619_1,93.3
26040,"[1, 0, 4]","[((0, 1, 4), 0.09163590520620346), ((0, 4, 1), 0.08043317496776581), ((0, 1, 2), 0.06212080270051956), ((0, 1, 5), 0.049959469586610794), ((0, 2, 1), 0.04892000928521156)]",8,"(1, 0, 4)",1-0-4,2-1-5,若松_20250517_2,12.1
26160,"[0, 1, 2]","[((0, 2, 1), 0.14326955378055573), ((2, 0, 1), 0.09439492970705032), ((0, 2, 5), 0.0816410705447197), ((0, 1, 2), 0.07440495491027832), ((0, 2, 4), 0.06100723147392273)]",4,"(0, 1, 2)",0-1-2,1-2-3,若松_20250421_11,5.9
26280,"[0, 2, 1]","[((1, 0, 2), 0.11765653640031815), ((0, 1, 2), 0.1162777915596962), ((1, 2, 0), 0.10897227376699448), ((0, 2, 1), 0.105532705783844), ((2, 1, 0), 0.10333370417356491)]",4,"(0, 2, 1)",0-2-1,1-3-2,若松_20250424_1,8.5
26400,"[1, 5, 2]","[((5, 1, 2), 0.13350841403007507), ((1, 5, 2), 0.1323857605457306), ((5, 2, 1), 0.11051613092422485), ((1, 2, 5), 0.10806949436664581), ((2, 5, 1), 0.09934066236019135)]",2,"(1, 5, 2)",1-5-2,2-6-3,若松_20250619_2,97.2
26520,"[4, 1, 3]","[((1, 4, 0), 0.11165664345026016), ((1, 0, 4), 0.1108701303601265), ((4, 1, 0), 0.062255844473838806), ((0, 1, 4), 0.06166256591677666), ((1, 4, 3), 0.04789181053638458)]",13,"(4, 1, 3)",4-1-3,5-2-4,若松_20250504_6,59.9
26640,"[0, 1, 3]","[((1, 0, 2), 0.09245879203081131), ((1, 0, 3), 0.07490420341491699), ((1, 2, 0), 0.06492841988801956), ((1, 0, 4), 0.053563617169857025), ((1, 0, 5), 0.05218251049518585)]",10,"(0, 1, 3)",0-1-3,1-2-4,若松_20250424_5,3.9
26760,"[0, 2, 5]","[((0, 2, 1), 0.059776198118925095), ((0, 2, 3), 0.052917204797267914), ((0, 1, 2), 0.044544070959091187), ((2, 0, 1), 0.04033813625574112), ((0, 3, 2), 0.03838128596544266)]",6,"(0, 2, 5)",0-2-5,1-3-6,若松_20250425_4,74.7
26880,"[1, 5, 2]","[((5, 1, 2), 0.0487869568169117), ((5, 2, 1), 0.0479964055120945), ((1, 5, 2), 0.04243775084614754), ((2, 5, 1), 0.04135036841034889), ((1, 2, 5), 0.03427305072546005)]",3,"(1, 5, 2)",1-5-2,2-6-3,若松_20250619_2,97.2
27000,"[1, 5, 0]","[((2, 5, 1), 0.2575197219848633), ((5, 2, 1), 0.25375038385391235), ((2, 1, 5), 0.09081936627626419), ((5, 1, 2), 0.08780340850353241), ((1, 2, 5), 0.059929296374320984)]",30,"(1, 5, 0)",1-5-0,2-6-1,若松_20250619_7,17.4
27120,"[0, 2, 1]","[((2, 1, 0), 0.23876576125621796), ((2, 1, 4), 0.09609507024288177), ((2, 1, 5), 0.09324765205383301), ((2, 1, 3), 0.0888158306479454), ((1, 2, 0), 0.08677783608436584)]",13,"(0, 2, 1)",0-2-1,1-3-2,若松_20250424_1,8.5
27240,"[2, 0, 1]","[((2, 0, 3), 0.0920790284872055), ((2, 3, 0), 0.09062712639570236), ((2, 0, 1), 0.06964088976383209), ((2, 3, 1), 0.06575020402669907), ((2, 1, 0), 0.06285630911588669)]",3,"(2, 0, 1)",2-0-1,3-1-2,若松_20250515_12,32.2
27360,"[0, 2, 3]","[((2, 0, 3), 0.06887289136648178), ((2, 3, 0), 0.060158051550388336), ((0, 2, 3), 0.05829501897096634), ((2, 0, 1), 0.05269806087017059), ((3, 2, 0), 0.0473644845187664)]",3,"(0, 2, 3)",0-2-3,1-3-4,若松_20250424_10,5.8
27480,"[2, 0, 1]","[((0, 1, 2), 0.1174723207950592), ((0, 2, 1), 0.09664697200059891), ((1, 0, 2), 0.07139643281698227), ((2, 0, 1), 0.05464201793074608), ((0, 1, 5), 0.03915485367178917)]",4,"(2, 0, 1)",2-0-1,3-1-2,若松_20250515_12,32.2
27600,"[0, 1, 2]","[((1, 0, 2), 0.18707816302776337), ((0, 1, 2), 0.14632195234298706), ((1, 0, 4), 0.08656682819128036), ((1, 2, 0), 0.06937769800424576), ((0, 1, 4), 0.06770768016576767)]",2,"(0, 1, 2)",0-1-2,1-2-3,若松_20250421_11,5.9
27720,"[0, 3, 1]","[((0, 3, 1), 0.15746468305587769), ((3, 0, 1), 0.13533784449100494), ((0, 1, 3), 0.1318763643503189), ((1, 0, 3), 0.10457950085401535), ((3, 1, 0), 0.08907762169837952)]",1,"(0, 3, 1)",0-3-1,1-4-2,若松_20250421_8,9.4
27840,"[1, 5, 3]","[((1, 3, 2), 0.052843786776065826), ((3, 1, 2), 0.051559928804636), ((1, 2, 3), 0.05152185261249542), ((2, 1, 3), 0.049475230276584625), ((3, 2, 1), 0.048437777906656265)]",11,"(1, 5, 3)",1-5-3,2-6-4,若松_20250425_3,27.1
27960,"[1, 5, 0]","[((1, 5, 0), 0.3881117105484009), ((1, 0, 5), 0.20453910529613495), ((1, 5, 4), 0.05971016362309456), ((1, 5, 2), 0.0568339079618454), ((1, 5, 3), 0.055563464760780334)]",1,"(1, 5, 0)",1-5-0,2-6-1,若松_20250619_7,17.4
28080,"[0, 4, 3]","[((0, 4, 1), 0.3324010670185089), ((0, 1, 4), 0.16059546172618866), ((4, 0, 1), 0.12004309892654419), ((0, 4, 3), 0.05413617566227913), ((1, 0, 4), 0.050967488437891006)]",4,"(0, 4, 3)",0-4-3,1-5-4,若松_20250424_9,10.4
28200,"[0, 1, 3]","[((0, 1, 3), 0.25293105840682983), ((1, 0, 3), 0.14605851471424103), ((0, 3, 1), 0.13259582221508026), ((3, 0, 1), 0.0638049840927124), ((0, 1, 2), 0.0627736896276474)]",1,"(0, 1, 3)",0-1-3,1-2-4,若松_20250424_5,3.9
28320,"[1, 5, 3]","[((5, 2, 3), 0.08902314305305481), ((5, 2, 1), 0.0877525582909584), ((5, 3, 2), 0.0716615617275238), ((5, 1, 2), 0.07030973583459854), ((2, 5, 3), 0.04803295060992241)]",12,"(1, 5, 3)",1-5-3,2-6-4,若松_20250425_3,27.1
28440,"[3, 5, 1]","[((2, 1, 5), 0.04213970899581909), ((1, 2, 5), 0.041420500725507736), ((2, 1, 3), 0.03775041177868843), ((1, 2, 3), 0.037106119096279144), ((2, 1, 0), 0.033634841442108154)]",44,"(3, 5, 1)",3-5-1,4-6-2,若松_20250620_7,116.7
28560,"[0, 1, 5]","[((1, 0, 5), 0.30910688638687134), ((1, 5, 0), 0.22389250993728638), ((0, 1, 5), 0.10281452536582947), ((5, 1, 0), 0.07037781178951263), ((1, 0, 2), 0.04413358122110367)]",3,"(0, 1, 5)",0-1-5,1-2-6,若松_20250515_3,78.9
28680,"[3, 0, 5]","[((0, 2, 5), 0.04862820729613304), ((0, 2, 3), 0.048592016100883484), ((0, 5, 2), 0.04567050561308861), ((0, 3, 2), 0.04562580958008766), ((0, 5, 3), 0.038254909217357635)]",16,"(3, 0, 5)",3-0-5,4-1-6,若松_20250421_1,37.5
28800,"[0, 2, 3]","[((0, 2, 5), 0.20817452669143677), ((2, 0, 5), 0.14747191965579987), ((0, 2, 3), 0.14310823380947113), ((2, 0, 3), 0.10137861967086792), ((0, 2, 1), 0.08954182267189026)]",3,"(0, 2, 3)",0-2-3,1-3-4,若松_20250424_10,5.8
28920,"[3, 4, 5]","[((3, 5, 1), 0.04870891571044922), ((3, 5, 2), 0.048210568726062775), ((3, 1, 5), 0.04745319113135338), ((3, 2, 5), 0.046834684908390045), ((3, 5, 0), 0.04468624293804169)]",16,"(3, 4, 5)",3-4-5,4-5-6,若松_20250621_10,57.3
29040,"[0, 1, 5]","[((1, 0, 2), 0.24536311626434326), ((1, 2, 0), 0.15195193886756897), ((0, 1, 2), 0.09647171944379807), ((1, 0, 3), 0.06540177762508392), ((2, 1, 0), 0.053980108350515366)]",13,"(0, 1, 5)",0-1-5,1-2-6,若松_20250515_3,78.9
29160,"[0, 3, 5]","[((0, 2, 1), 0.14121221005916595), ((0, 2, 3), 0.1205570176243782), ((2, 0, 1), 0.07690981030464172), ((2, 0, 3), 0.06566016376018524), ((0, 1, 2), 0.06331462413072586)]",34,"(0, 3, 5)",0-3-5,1-4-6,若松_20250424_7,49.6
29280,"[1, 5, 0]","[((0, 5, 4), 0.04234936460852623), ((0, 4, 5), 0.036599621176719666), ((5, 0, 4), 0.03595368191599846), ((0, 5, 1), 0.03267476335167885), ((0, 5, 2), 0.030815767124295235)]",21,"(1, 5, 0)",1-5-0,2-6-1,若松_20250619_7,17.4
29400,"[1, 2, 0]","[((2, 1, 0), 0.11818863451480865), ((2, 1, 5), 0.08696790039539337), ((1, 2, 0), 0.07048961520195007), ((2, 0, 1), 0.06894801557064056), ((1, 2, 5), 0.05186906084418297)]",3,"(1, 2, 0)",1-2-0,2-3-1,若松_20250621_3,49.0
29520,"[3, 2, 1]","[((2, 1, 3), 0.2786523103713989), ((2, 3, 1), 0.1560780107975006), ((1, 2, 3), 0.11879011243581772), ((2, 1, 5), 0.0721769705414772), ((3, 2, 1), 0.05865178629755974)]",5,"(3, 2, 1)",3-2-1,4-3-2,若松_20250621_4,60.3
29640,"[0, 1, 5]","[((0, 1, 5), 0.13395467400550842), ((1, 0, 5), 0.13227224349975586), ((0, 5, 1), 0.07232027500867844), ((1, 5, 0), 0.07022929191589355), ((0, 1, 2), 0.06206592544913292)]",1,"(0, 1, 5)",0-1-5,1-2-6,若松_20250515_3,78.9
29760,"[3, 4, 2]","[((2, 3, 1), 0.1769258975982666), ((2, 1, 3), 0.12557101249694824), ((2, 3, 4), 0.08836471289396286), ((2, 3, 5), 0.06816542893648148), ((2, 4, 3), 0.05331825464963913)]",30,"(3, 4, 2)",3-4-2,4-5-3,若松_20250520_2,29.8
29880,"[3, 0, 2]","[((3, 0, 2), 0.0679687112569809), ((3, 2, 0), 0.05761062353849411), ((3, 0, 1), 0.05537671968340874), ((0, 3, 2), 0.054786503314971924), ((0, 3, 1), 0.044636666774749756)]",1,"(3, 0, 2)",3-0-2,4-1-3,若松_20250517_6,20.3
30000,"[0, 1, 2]","[((0, 1, 2), 0.2387622594833374), ((1, 0, 2), 0.17379412055015564), ((0, 2, 1), 0.09740243852138519), ((0, 1, 3), 0.0759352296590805), ((1, 0, 3), 0.05527295917272568)]",1,"(0, 1, 2)",0-1-2,1-2-3,若松_20250421_11,5.9
30120,"[4, 0, 2]","[((0, 4, 2), 0.09312944859266281), ((4, 0, 2), 0.0809968039393425), ((0, 4, 5), 0.07363482564687729), ((0, 4, 3), 0.06521397829055786), ((4, 0, 5), 0.06404189020395279)]",2,"(4, 0, 2)",4-0-2,5-1-3,若松_20250621_9,20.7
30240,"[0, 1, 2]","[((0, 1, 3), 0.12803374230861664), ((0, 3, 1), 0.09716477245092392), ((0, 1, 2), 0.07640734314918518), ((0, 1, 5), 0.07166217267513275), ((0, 2, 1), 0.05163024738430977)]",3,"(0, 1, 2)",0-1-2,1-2-3,若松_20250421_11,5.9
30360,"[0, 2, 4]","[((0, 2, 3), 0.22436322271823883), ((0, 3, 2), 0.1400446742773056), ((0, 2, 4), 0.08831083029508591), ((2, 0, 3), 0.08047283440828323), ((3, 0, 2), 0.0457247756421566)]",3,"(0, 2, 4)",0-2-4,1-3-5,若松_20250421_2,38.6
30480,"[3, 0, 1]","[((0, 1, 3), 0.2088242620229721), ((0, 3, 1), 0.13762681186199188), ((1, 0, 3), 0.11180911213159561), ((3, 0, 1), 0.0653732419013977), ((0, 1, 5), 0.05552048608660698)]",4,"(3, 0, 1)",3-0-1,4-1-2,若松_20250526_6,127.8
30600,"[0, 4, 2]","[((0, 2, 4), 0.16583645343780518), ((0, 2, 1), 0.12064754962921143), ((2, 0, 4), 0.09246820211410522), ((0, 2, 5), 0.0874786227941513), ((2, 0, 1), 0.06727147102355957)]",7,"(0, 4, 2)",0-4-2,1-5-3,若松_20250515_11,29.2
30720,"[1, 0, 4]","[((3, 1, 4), 0.07001626491546631), ((3, 1, 2), 0.05428516864776611), ((1, 3, 4), 0.0504472479224205), ((3, 4, 1), 0.04700101166963577), ((3, 1, 5), 0.04503822326660156)]",67,"(1, 0, 4)",1-0-4,2-1-5,若松_20250517_2,12.1
30840,"[2, 0, 5]","[((2, 0, 5), 0.1555887758731842), ((0, 2, 5), 0.10817284137010574), ((2, 0, 3), 0.08526430279016495), ((2, 5, 0), 0.07486520707607269), ((0, 2, 3), 0.05927986651659012)]",1,"(2, 0, 5)",2-0-5,3-1-6,若松_20250425_7,13.5
30960,"[4, 1, 0]","[((4, 1, 3), 0.09077857434749603), ((4, 3, 1), 0.07339859753847122), ((4, 1, 0), 0.07026156038045883), ((1, 4, 3), 0.05422447621822357), ((4, 0, 1), 0.05262097343802452)]",3,"(4, 1, 0)",4-1-0,5-2-1,若松_20250613_3,277.7
31080,"[0, 4, 5]","[((0, 1, 5), 0.13840548694133759), ((0, 5, 1), 0.11831682920455933), ((0, 1, 2), 0.054318226873874664), ((0, 1, 3), 0.05355726182460785), ((1, 0, 5), 0.042262326925992966)]",16,"(0, 4, 5)",0-4-5,1-5-6,若松_20250524_7,8.6
31200,"[3, 1, 2]","[((2, 0, 1), 0.1108657568693161), ((2, 1, 0), 0.09519713371992111), ((2, 0, 3), 0.07181423902511597), ((0, 2, 1), 0.0661742314696312), ((1, 2, 0), 0.05369643121957779)]",22,"(3, 1, 2)",3-1-2,4-2-3,若松_20250622_6,50.7
31320,"[0, 1, 2]","[((0, 1, 2), 0.15803037583827972), ((0, 2, 1), 0.145721897482872), ((1, 0, 2), 0.06587910652160645), ((2, 0, 1), 0.059506140649318695), ((0, 1, 3), 0.052751876413822174)]",1,"(0, 1, 2)",0-1-2,1-2-3,若松_20250421_11,5.9
31440,"[0, 2, 1]","[((0, 1, 2), 0.16277340054512024), ((1, 0, 2), 0.15454646944999695), ((0, 2, 1), 0.10156160593032837), ((1, 2, 0), 0.08947215229272842), ((2, 0, 1), 0.07748590409755707)]",3,"(0, 2, 1)",0-2-1,1-3-2,若松_20250424_1,8.5
31560,"[0, 4, 1]","[((4, 0, 1), 0.11094646155834198), ((0, 4, 1), 0.11089189350605011), ((4, 1, 0), 0.07310833781957626), ((0, 1, 4), 0.07302209734916687), ((1, 4, 0), 0.05875721573829651)]",2,"(0, 4, 1)",0-4-1,1-5-2,若松_20250429_4,15.2
31680,"[2, 0, 3]","[((2, 1, 0), 0.18856045603752136), ((2, 1, 3), 0.12778683006763458), ((2, 1, 4), 0.12496273964643478), ((2, 0, 1), 0.06757785379886627), ((1, 2, 0), 0.061834223568439484)]",16,"(2, 0, 3)",2-0-3,3-1-4,若松_20250520_6,44.2
31800,"[0, 4, 5]","[((0, 1, 3), 0.1142016127705574), ((0, 3, 1), 0.08912702649831772), ((0, 1, 4), 0.07519505172967911), ((0, 4, 1), 0.05268361419439316), ((0, 1, 5), 0.051406774669885635)]",18,"(0, 4, 5)",0-4-5,1-5-6,若松_20250524_7,8.6
31920,"[0, 1, 3]","[((0, 1, 2), 0.09666193276643753), ((0, 2, 1), 0.0885300263762474), ((1, 0, 2), 0.06848390400409698), ((2, 0, 1), 0.060335732996463776), ((0, 1, 5), 0.0551220141351223)]",19,"(0, 1, 3)",0-1-3,1-2-4,若松_20250424_5,3.9
32040,"[0, 2, 5]","[((0, 1, 2), 0.04908375442028046), ((1, 0, 2), 0.04422992095351219), ((0, 2, 1), 0.041810084134340286), ((0, 1, 4), 0.035681840032339096), ((2, 0, 1), 0.034284234046936035)]",19,"(0, 2, 5)",0-2-5,1-3-6,若松_20250425_4,74.7
32160,"[0, 1, 2]","[((0, 3, 1), 0.1654631793498993), ((0, 1, 3), 0.14489541947841644), ((0, 3, 2), 0.0923556536436081), ((0, 2, 3), 0.0682116225361824), ((0, 3, 5), 0.06383010745048523)]",6,"(0, 1, 2)",0-1-2,1-2-3,若松_20250421_11,5.9
32280,"[0, 5, 3]","[((5, 0, 2), 0.10994714498519897), ((5, 2, 0), 0.09790342301130295), ((0, 5, 2), 0.058934763073921204), ((2, 5, 0), 0.05044213682413101), ((5, 0, 3), 0.04673289135098457)]",12,"(0, 5, 3)",0-5-3,1-6-4,若松_20250421_7,15.1
