登番,名前,読み,性別,養成期,25後期,25前期,24後期,24前期,23後期,23前期,22後期,22前期,21後期,21前期,20後期,20前期,19後期,19前期,18後期,18前期,17後期,17前期,16後期,16前期,15後期,15前期,14後期,14前期,13後期,13前期,12後期,12前期,11後期,11前期,10後期,10前期,09後期,09前期,08後期,08前期,07後期,07前期,06後期,06前期,05後期,05前期,04後期,04前期,03後期,03前期,02後期,02前期,01後期,01前期,00後期
4184,渡邊雄一郎,ワタナベ　ユウイチロウ　,1,90,A1,A1,A2,A1,A1,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A2,B1,A2,A2,A2,A2,A1,A2,A2,A1,A2,B1,B1,A2,B1,B1,B1,B1,B1,B2,B2,B2,,,,
4185,藤原真也,フジワラ　シンヤ,1,91,,,,,,,,B2,B2,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,B2,B2,B2,,,,,
4186,小川時光,オガワ　トキミツ,1,91,B2,B1,B2,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,B1,B2,B1,B1,B2,,,,,
4187,香川友尚,カガワ　トモナオ,1,91,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,B2,B2,,,,,
4188,久田敏之,ヒサダ　トシユキ,1,91,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A1,A1,A1,A1,A1,B1,A2,A2,A1,A2,A2,A1,A2,B1,B1,B1,B1,B1,B2,,,,,
4189,川上剛,カワカミ　タケシ　,1,91,A2,A2,A1,A1,A2,A1,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A1,A2,B1,B1,B1,B2,B2,,,,,
4190,長嶋万記,ナガシマ　マキ　,2,91,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A2,A1,A1,A2,A1,A1,A1,A1,B1,B2,A1,A1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,,,,,
4191,赤羽克也,アカバ　カツヤ　,1,91,A2,A2,A1,A1,A1,A2,A1,A1,A2,A2,A2,A1,A2,A2,A2,A1,A2,B1,B1,B1,A2,A2,A2,A2,A2,A1,A2,A2,A2,B1,A2,A2,B1,B1,A2,B1,B2,B1,B1,A2,B1,B1,B1,B1,B2,B2,,,,,
4192,先山健司,サキヤマ　ケンジ,1,91,,,,,,,,,,,,,,,,,,,,,B2,B2,B2,B1,B1,B1,B2,B2,B2,B2,B1,B1,B1,B1,B1,B1,B2,B2,B1,B1,B2,B1,B2,B1,B2,B2,,,,,
4193,郷原章平,ゴウハラ　シヨウヘイ,1,91,A2,A2,A1,A2,A2,A2,A1,A1,A1,A1,A1,A1,A2,A2,A1,A2,A1,A2,A2,A1,A1,A2,A2,A1,A1,A2,A1,A1,A1,A1,A1,B1,B2,A1,A1,A1,A1,A1,A2,A2,A2,A2,B1,B1,B1,B2,,,,,
4194,齋藤篤,サイトウ　アツシ　,1,91,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,B1,B1,B1,B2,B2,B2,,,,,
4195,前川守嗣,マエカワ　モリツグ　,1,91,A2,B1,A2,B1,A2,A2,B1,A2,A2,A2,A2,B1,B1,B1,A2,B1,B1,B1,A2,B1,B1,B1,A2,B1,B1,A2,B1,A2,B1,A2,A2,A2,A2,B1,A2,A2,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,,,,,
4196,田中太一郎,タナカ　タイチロウ,1,91,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,A2,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B1,B2,B2,B2,,,,,
4197,渥美卓郎,アツミ　タクロウ　,1,91,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,B2,,,,,
4198,沼田克彦,ヌマタ　カツヒコ　,1,91,,,,,,,B1,B1,B2,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,B2,,,,,
4199,北川潤二,キタガワ　ジユンジ　,1,91,A1,A1,A2,A1,A1,A1,A1,A2,A2,B1,A2,A2,A2,A2,A2,A1,A1,A2,B1,B1,A2,B1,A2,B1,A2,A2,A1,A1,A2,A1,A1,A1,A2,A2,B1,B1,A2,B1,B1,B1,B1,B1,B1,B2,B2,B2,,,,,
4200,早川尚人,ハヤカワ　ヒサト　,1,91,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B1,B2,B2,B2,,,,,
4201,佐竹友樹,サタケ　ユウキ,1,91,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,A2,B1,A2,B1,A2,A2,A2,A2,B1,A2,A1,A2,A2,A1,B1,B1,A1,A2,A1,A2,A1,A2,B1,A2,B1,B1,B1,A2,A2,B1,B1,B1,B1,B1,B1,B2,,,,,
4202,浮田圭浩,ウキタ　ヨシヒロ　,1,91,B1,B1,B1,B1,B1,B1,B1,B1,A2,A2,B1,A2,B1,B1,B1,B1,B1,A2,A2,B1,B1,B1,B1,B1,B1,B1,B1,A2,A2,B1,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,,,,,
4203,小倉康典,オグラ　ヤスノリ,1,91,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,B2,B1,B2,B2,B2,,,,,
4204,柴田大輔,シバタ　ダイスケ　,1,91,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B1,B1,B1,B1,B1,B2,B1,B1,B2,B2,B2,B2,,,,,
4205,山口剛,ヤマグチ　ツヨシ,1,91,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A2,A1,B1,B1,B1,B2,,,,,
4206,川邉加奈子,カワナベ　カナコ,2,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,B2,B2,,,,,
4207,松下一也,マツシタ　カズヤ,1,91,A1,A2,A1,B1,A1,A1,A1,A2,A1,A1,A2,A1,A1,A1,A1,A2,A1,A1,A1,A2,A1,A1,B1,B1,B1,B2,B2,B1,A2,A2,A1,A2,A1,A1,A2,B1,B1,A2,A2,B1,B1,B1,B1,B1,B1,B2,,,,,
4208,三浦永理,ミウラ　エリ　,2,91,A1,A1,A1,A1,A1,A1,A2,A1,A1,A2,B1,B2,B2,B2,B2,A1,A1,A2,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A2,B1,B1,B1,B1,B1,B1,B1,B2,B2,,,,,
4209,藤田竜弘,フジタ　タツヒロ,1,91,A2,B1,B1,A2,B1,A2,A2,B1,B1,B1,A2,A2,B1,A2,B1,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A1,A2,A2,A2,A2,A2,A2,A2,B1,B1,A2,B1,B1,B1,B1,B1,B2,,,,,
4210,松村康太,マツムラ　コウタ　,1,91,A2,A2,A2,A2,A2,B1,A2,A2,A2,A1,A2,A2,A2,B1,A1,A2,A2,A1,A2,A1,A1,A1,A1,A1,A1,A1,A2,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A2,B1,B1,B2,B2,B2,,,,,
4211,村田敦,ムラタ　アツシ,1,91,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,A2,A2,A1,A2,A2,A2,B1,B1,B1,B1,B1,B1,A2,B1,A2,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,,,,,
4212,宮地孝四朗,ミヤチ　コウシロウ,1,91,,,,,,,,,,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B1,B2,B2,B2,,,,,
4213,重富伸也,シゲトミ　シンヤ,1,91,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,B2,B2,B2,B2,B2,,,,,
4214,林祐介,ハヤシ　ユウスケ　,1,91,A2,A2,A2,A2,A2,A2,A2,A2,B1,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,B1,B1,A2,A2,A2,B2,A2,A2,A2,A2,A2,B1,B1,A2,A2,A2,A2,A1,A2,A1,A2,B1,B1,B1,B1,B1,B2,,,,,
4215,吉島祥之,ヨシジマ　ヨシユキ　,1,91,A2,A2,A2,A2,A2,A2,B1,B1,B1,B1,B1,A2,A2,A2,A2,A2,A2,A2,A2,B1,B1,A2,A2,A2,A2,A2,A2,A2,A2,A2,B1,A1,A2,B1,A2,A2,B1,B1,A2,A2,B1,B1,B1,B1,B1,B2,,,,,
4216,星栄爾,ホシ　エイジ,1,91,A2,A2,B1,B1,B1,A1,A2,A2,A2,A1,A1,A1,A2,A1,A1,A1,A1,A1,A2,A2,A1,A2,A1,A2,A2,B1,A2,A2,A2,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,,,,,
4217,栩本佑介,トチモト　ユウスケ,1,92,,,,,,,,,,,,,,,,,,,,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,B2,B2,B2,B2,,,,,,
4218,吉川喜継,ヨシカワ　ヨシツグ　,1,92,A1,A1,A1,A1,A1,A1,A1,A2,A2,A2,A1,A2,A1,A1,A2,A1,A2,A1,A1,A1,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A2,A2,A1,A1,A2,A2,A2,B1,A2,B1,B1,B2,B2,B2,,,,,,
4219,本岡勝利,モトオカ　カツトシ,1,92,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,B2,,,,,,
4220,深川和仁,フカガワ　カズヒト,1,92,A2,B1,B1,A2,A2,B1,A2,A2,A2,B1,A1,B1,B1,A2,A1,A2,A2,A2,A2,A2,A2,A2,A2,A2,B1,B1,B1,A2,A2,A2,A2,A2,B1,B1,B2,B2,B2,B2,B1,B1,B1,B1,B2,B2,B2,,,,,,
4221,南部圭史,ナンブ　ケイシ　,1,92,,,,,,,,,,,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B1,B2,B2,B2,B2,B2,B2,B2,,,,,,
4222,山口高志,ヤマグチ　タカシ,1,92,,,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,A2,A2,B1,A2,A2,A2,A2,A2,A2,A2,A1,A1,A2,B1,B1,A2,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,B1,B1,B2,B2,B2,,,,,,
4223,平井誉志郎,ヒライ　ヨシロウ,1,92,,,,,,,,,,,,,,,,,,,,,B2,B2,B1,B1,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,B2,B1,B1,B1,B2,B2,B2,B2,B2,,,,,,
4224,大橋栄里佳,オオハシ　エリカ　,2,92,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,B2,B1,B2,B1,B1,B1,B1,B2,B2,B1,B1,B1,B2,B1,B1,B1,B2,B2,B2,B2,B2,,,,,,
4225,土屋千明,ツチヤ　チアキ,2,92,A1,A1,B1,A2,B1,B1,B1,B2,B1,A1,A1,A2,A2,A1,B1,A2,B2,B2,B2,A2,A2,B1,B2,B2,B2,B1,A2,B2,A2,A2,A2,A2,B1,A2,A2,A2,B1,B1,B1,B1,B1,B1,B2,B2,B2,,,,,,
4226,村田浩司,ムラタ　コウジ　,1,92,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B1,B2,B2,,,,,,
4227,安達裕樹,アダチ　ユウキ　,1,92,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,B1,B1,A2,B1,B1,B2,B2,B2,,,,,,
4228,吉田慎二郎,ヨシダ　シンジロウ,1,92,A2,A2,A2,A2,A1,A2,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,B1,B1,A2,B1,A2,B1,B1,B1,B1,A2,B1,B1,B1,A2,A2,B1,B1,B1,A2,B1,B1,B1,B1,B2,B2,B1,B2,B2,B2,,,,,,
4229,市川美宏,イチカワ　ヨシヒロ,1,92,B1,B1,B1,B1,B1,B1,B1,B2,B1,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B1,B1,B1,B1,B1,B2,B2,B2,B2,B2,,,,,,
4230,濱崎直矢,ハマサキ　ナオヤ　,1,92,A1,A1,A1,A2,A1,A1,A1,A1,A1,A1,A2,A2,A1,A2,A1,A1,A1,A2,A2,A2,A1,A1,A1,A2,A1,A1,A1,A1,A2,A2,A1,A1,A1,A1,A1,A1,A2,A2,B1,B1,B1,B1,B1,B1,B2,,,,,,
4231,鈴木裕隆,スズキ　ヒロタカ,1,92,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,A2,B1,B1,A2,B1,B1,A2,A2,A2,B1,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B2,B1,B2,B2,,,,,,
4232,笠雅雄,リユウ　マサオ,1,92,B1,B2,B1,B1,B1,B1,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,B1,B2,B2,B2,B2,B2,,,,,,
4233,亀山雅幸,カメヤマ　マサユキ,1,92,A2,A2,A2,A2,A2,B1,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A1,A1,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,B2,,,,,,
4234,野相弘司,ノアイ　ヒロシ,1,92,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,A2,A2,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,B1,B2,B2,,,,,,
4235,進藤侑,シンドウ　タスク,1,92,,,,,,,,,,,,,,,,,A1,A1,A1,A1,A1,A2,A2,A2,B1,A2,A2,B1,B1,B1,B1,A2,A2,A1,B1,A2,B1,B1,B1,B1,B1,B1,B2,B2,B2,,,,,,
4236,松村敏,マツムラ　サトシ　,1,92,A1,A1,A1,A1,A1,A1,A1,A1,A1,B1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A1,A2,A1,A2,A2,A2,B1,B1,A2,B1,B1,B1,B2,B2,,,,,,
4237,大峯豊,オオミネ　ユタカ　,1,92,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A2,B1,B1,B1,B1,B1,B2,,,,,,
4238,毒島誠,ブスジマ　マコト　,1,92,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,B1,A2,B1,B2,B2,B2,,,,,,
4239,竹田辰也,タケダ　タツヤ　,1,92,A1,A2,A1,A1,A1,A2,A1,A1,A1,A1,A1,A1,A1,A2,A2,A2,A2,A1,A2,A2,A2,B1,A2,B1,B1,A2,A2,A2,A2,A2,A2,A2,B1,A2,A2,A2,B1,A2,B1,B1,B1,B1,B1,B2,B2,,,,,,
4240,今井裕梨,イマイ　ユリ　,2,92,A1,A2,A2,A2,A2,A1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,B2,B2,B1,B1,B1,B1,B1,B2,B2,B1,A2,A2,A2,B1,A2,B1,B1,B1,B1,B1,B1,B1,B2,B2,B2,B2,B2,,,,,,
4241,大串重幸,オオグシ　シゲユキ,1,92,A2,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,A2,A2,B1,A2,B1,A2,A2,B1,A2,A2,B1,B1,B1,B1,A2,A2,A2,A2,A2,A2,A2,B1,B1,B1,B1,B1,B2,B2,B2,,,,,,
4242,古野智丈,フルノ　トシヒロ,1,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,,,,,,
4243,西村歩,ニシムラ　アユミ　,2,92,A2,B1,A2,A2,B1,B2,B2,B2,B1,B1,B1,B1,A2,B1,B1,B1,A2,A2,A2,A1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,A2,A2,B1,B1,B1,B1,B1,B1,B1,B2,B2,B2,B2,B2,,,,,,
4244,鈴木成美,スズキ　ナルミ　,2,92,B1,B1,B1,B1,B1,B1,B1,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,A2,B1,B1,B1,B2,B2,B2,B1,B1,B1,B2,B2,B2,B2,,,,,,
4245,高橋直哉,タカハシ　ナオヤ　,1,93,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,B2,,,,,,,
4246,喜多那由夏,キタ　ナユカ　,2,93,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,B2,B2,,,,,,,
4247,齊藤優,サイトウ　ユウ,1,93,A2,B1,B1,B1,B1,B1,B1,A2,A2,B1,B1,A2,A2,B1,A2,A2,B1,B1,B1,B1,B1,B1,A2,B1,A2,A2,A2,A1,A1,A2,B1,B1,A2,A2,A2,A2,A2,B1,B1,B1,B1,B1,B1,B2,,,,,,,
4248,岡本大,オカモト　フトシ　,1,93,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B1,B2,B2,,,,,,,
4249,曾根孝仁,ソネ　タカヒト,1,93,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,B2,B2,B2,B2,B2,B2,B2,B2,,,,,,,
4250,藤川利文,フジカワ　トシフミ　,1,93,,,,,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B1,B2,B2,,,,,,,
4251,川崎誠志,カワサキ　セイジ,1,93,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,B1,B1,B2,B2,B2,B2,,,,,,,
4252,松下哲也,マツシタ　テツヤ　,1,93,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,B2,B2,B2,B2,B2,B2,,,,,,,
4253,西川真人,ニシカワ　マサト　,1,93,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,A2,B1,B1,B1,B1,B1,B1,B2,B1,B2,B2,B2,,,,,,,
4254,川島圭司,カワシマ　ケイジ,1,93,A2,A2,A2,B1,A2,A2,A2,A2,A2,A2,A2,A2,A2,A2,B1,B1,A2,A2,A2,A2,A1,A1,A1,A2,A1,A1,A1,B1,A2,A2,A2,A2,A2,A2,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,,,,,,,
4255,野中建太郎,ノナカ　ケンタロウ,1,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B2,B2,B2,B2,B2,,,,,,,
4256,渡辺浩司,ワタナベ　コウジ　,1,93,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A2,A2,A1,A1,A2,A2,A2,A2,B1,B1,B1,B1,B1,B2,B2,,,,,,,
4257,古川健,フルカワ　ケン,1,93,B1,B1,B1,B1,A2,A2,B1,A2,A2,B1,B1,A2,B1,A2,B1,A2,B1,A2,B1,B1,B1,B1,A2,A2,A2,B1,A2,A2,A2,A2,B1,A2,B1,B1,B1,B1,A2,B1,B1,B1,B1,B2,B2,B2,,,,,,,
4258,関根彰人,セキネ　アキヒト　,1,93,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,A2,A2,A2,A2,B1,B1,A2,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B1,B1,B1,B2,B2,,,,,,,
4259,真庭明志,マニワ　ヒロシ,1,93,B1,A2,A2,A2,A2,A2,A2,A2,A2,A1,A2,A2,A2,A1,A1,A1,A2,A2,A2,A1,A1,A1,A2,A2,A2,A2,A2,A2,A1,A1,A2,A1,A2,A2,A2,A2,A2,A2,B1,B1,B1,B2,B2,B2,,,,,,,
4260,中越博紀,ナカゴシ　ヒロキ,1,93,A2,A2,A2,A2,A2,B1,B1,A2,A2,A2,A1,A2,A1,A2,A1,A2,A1,A2,A1,A2,A2,A1,A1,A1,A1,A1,A2,A2,A2,A2,A2,B1,A2,A2,A2,B1,A2,B1,A2,B1,B1,B2,B2,B2,,,,,,,
4261,岡祐臣,オカ　ユウシン,1,93,A2,A1,A1,A1,A2,A1,A1,A2,A1,A1,A1,A2,A1,B1,A1,A1,A2,A1,A1,A1,A1,A1,A2,A1,A1,A1,A1,A1,A2,A2,A1,A2,B1,A2,B2,B2,B1,B1,B1,B1,B1,B2,B2,B2,,,,,,,
4262,馬場貴也,ババ　ヨシヤ　,1,93,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A1,A1,A1,B1,B1,B1,B1,B1,B2,B2,B2,,,,,,,
4263,武重雄介,タケシゲ　ユウスケ　,1,93,A1,A2,A2,A2,B1,A2,A1,A1,B1,B1,B1,B1,A2,A1,B1,A2,A2,A2,A2,B1,A2,A2,A2,B1,B1,B1,A2,B1,A2,B1,B1,B1,B1,B1,B1,A2,B1,B1,B1,B1,B1,B1,B2,B2,,,,,,,
4264,長尾章平,ナガオ　シヨウヘイ　,1,93,A1,A1,A1,A2,A2,A2,A2,A2,A2,B1,B2,A1,A1,A1,A2,A1,A2,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A1,A1,A2,A2,A2,A2,B1,B1,B1,B1,B2,B2,B2,,,,,,,
4265,村上祐次,ムラカミ　ユウジ,1,93,,,,,,,,,,,,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B1,B2,B1,B2,B2,B2,,,,,,,
4266,長田頼宗,オサダ　ヨリムネ,1,93,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,A2,A2,A2,A2,A2,A2,A1,A1,B1,A2,B1,B1,B1,B1,B1,B2,,,,,,,
4267,大峯明菜,オオミネ　アキナ,2,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B2,B2,B2,B2,B2,B2,B1,B2,B2,B2,B2,,,,,,,
4268,和合俊介,ワゴウ　シユンスケ　,1,93,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B2,B2,B2,B2,,,,,,,
